Thread pool size,Current 10 Second Throughput,Throughput Difference,In pogress count,Average Latency,99th percentile Latency
10, 643.6, Infinity, -98, 66.31135990087765, 406.847487
1, 82.39999999999999, -87.19701678060908, -109, 576.5312308427771, 1275.068415
171, 964.6, 1070.6310679611652, 85, 31.9316498305153, 235.929599
138, 1100.4, 14.078374455732954, 169, 54.09518743569339, 822.083583
135, 628.1999999999999, -42.91166848418758, 198, 104.17317431017862, 754.974719
44, 661.2, 5.25310410697232, 126, 96.03316499856604, 503.316479
194, 613.4, -7.229280096793719, 162, 123.9200222213198, 497.025023
142, 89.99999999999999, -85.32768177372026, 189, 131.89971758563263, 704.643071
82, 708.8, 687.5555555555555, 224, 106.37983669729827, 843.055103
145, 107.8, -84.79119638826185, 259, 101.06927607715679, 482.344959
32, 685.0, 535.4359925788498, 220, 290.01923027101464, 2466.250751
149, 539.6, -21.22627737226277, 274, 80.61304927844294, 455.081983
90, 237.20000000000002, -56.041512231282425, 297, 102.2747372314566, 497.025023
153, 211.8, -10.708263069139967, 316, 128.2923797832945, 545.259519
120, 2.4, -98.86685552407931, 323, 391.31989911864406, 6979.321855
161, 626.2, 25991.66666666667, 362, 104.47763719338248, 566.231039
52, 192.59999999999997, -69.24305333759183, 382, 118.64069473606484, 763.363327
79, 265.0, 37.59086188992734, 408, 134.5961001955621, 484.442111
79, 388.6, 46.64150943396227, 428, 149.87663534373405, 713.031679
79, 649.6, 67.16417910447761, 464, 84.13077851727101, 511.705087
123, 0.0, -100.0, 432, 88.26394371845191, 478.150655
